ID	Group
ADP_ADP_3	1
ADP_ADP_5	1
ADP_ADP_6	1
ADP_ADP_7	1
ADP_ADP_8	1
ADP_ADP_9	1
ADP_ADP_11	1
ADP_ADP_12	1
ADP_ADP_13	1
ADP_ADP_14	1
ADP_ADP_15	1
ADP_ADP_16	1
ADP_ADP_17	1
ADP_ADP_18	1
ADP_ADP_19	1
ADP_ADP_20	1
ADP_ADP_21	1
ADP_ADP_22	1
ADP_ADP_23	1
ADP_ADP_24	1
ADP_ADP_25	1
AWD_AWD_1	1
AWD_AWD_2	1
AWD_AWD_3	1
AWD_AWD_4	1
AWD_AWD_5	1
AWD_AWD_6	1
AFS_AFS_1	2
AFS_AFS_3	2
AFS_AFS_4	2
AFS_AFS_5	2
AFS_AFS_6	2
AFS_AFS_7	2
AFS_AFS_8	2
AFS_AFS_9	2
AFS_AFS_11	2
AFS_AFS_12	2
AFS_AFS_13	2
AFS_AFS_14	2
AFS_AFS_15	2
AFS_AFS_16	2
AFS_AFS_17	2
AFS_AFS_18	2
AFS_AFS_19	2
AFS_AFS_20	2
AFS_AFS_21	2
AFS_AFS_22	2
AFS_AFS_23	2
AFS_AFS_24	2
AFS_AFS_25	2
AFS_AFS_26	2
AFS_AFS_28	2
AFS_AFS_29	2
AFS_AFS_31	2
AFS_AFS_32	2
AFS_AFS_33	2
AFS_AFS_34	2
AFS_AFS_35	2
AFS_AFS_36	2
AFS_AFS_37	2
AFS_AFS_38	2
AFS_AFS_39	2
AFS_AFS_40	2
AFS_AFS_41	2
MOG_MOG_2	2
MOG_MOG_3	2
MOG_MOG_4	2
MOG_MOG_6	2
MOG_MOG_7	2
MOG_MOG_8	2
MOG_MOG_9A	2
MOG_MOG_9B	2
MOG_MOG_10	2
MOG_MOG_11	2
MOG_MOG_12A	2
MOG_MOG_12B	2
MOG_MOG_13	2
MOG_MOG_15	2
MOG_MOG_16	2
MOG_MOG_17	2
MOG_MOG_18	2
MOG_MOG_19	2
MOG_MOG_20	2
MOG_MOG_21	2
MOG_MOG_22	2
MOG_MOG_23	2
MOG_MOG_24	2
MOG_MOG_25	2
MOG_MOG_26	2
MOG_MOG_27	2
MOG_MOG_28	2
MOG_MOG_29	2
MOG_MOG_30	2
MOG_MOG_31	2
MOG_MOG_32	2
MOG_MOG_33	2
MOG_MOG_34	2
MOG_MOG_35	2
QEZ_QEZ_1	2
QEZ_QEZ_2	2
QEZ_QEZ_3	2
QEZ_QEZ_4	2
QEZ_QEZ_5	2
QEZ_QEZ_6	2
QEZ_QEZ_7	2
QEZ_QEZ_9	2
QEZ_QEZ_10A	2
QEZ_QEZ_10B	2
QEZ_QEZ_11	2
QEZ_QEZ_12	2
QEZ_QEZ_13	2
QEZ_QEZ_14	2
QEZ_QEZ_15	2
QEZ_QEZ_16	2
QEZ_QEZ_17	2
QEZ_QEZ_18	2
QEZ_QEZ_19	2
QEZ_QEZ_20	2
QEZ_QEZ_21	2
QEZ_QEZ_22	2
QEZ_QEZ_23	2
QEZ_QEZ_24	2
QEZ_QEZ_25	2
QEZ_QEZ_26	2
QEZ_QEZ_27	2
QEZ_QEZ_28	2
QEZ_QEZ_29	2
QEZ_QEZ_30	2
QEZ_QEZ_31	2
QEZ_QEZ_32	2
QEZ_QEZ_33	2
QEZ_QEZ_34	2
QEZ_QEZ_35	2
